"Edad","Genero","CasaPropia","EstadoCiv","Ubicación","Salario","Niños","Historia","Catalogos","MontoDinero","","Salario","MontoDinero"
"Mayor","Mujer","Propia","Soltero","Lejos","47500","0","Alta","6","755","","47500","755"
"Adulto","Hombre","Alquilada","Soltero","Cerca","63600","0","Alta","6","1318","","63600","1318"
"Joven","Mujer","Alquilada","Soltero","Cerca","13500","0","Baja","18","296","","13500","296"
"Adulto","Hombre","Propia","Casado","Cerca","85600","1","Alta","18","2436","","85600","2436"
"Adulto","Mujer","Propia","Soltero","Cerca","68400","0","Alta","12","1304","","68400","1304"
"Joven","Hombre","Propia","Casado","Cerca","30400","0","Baja","6","495","","30400","495"
"Adulto","Mujer","Alquilada","Soltero","Cerca","48100","0","Media","12","782","","48100","782"
"Adulto","Hombre","Propia","Soltero","Cerca","68400","0","Alta","18","1155","","68400","1155"
"Adulto","Mujer","Propia","Casado","Cerca","51900","3","Baja","6","158","","51900","158"
"Mayor","Hombre","Propia","Casado","Lejos","80700","0","NA","18","3034","","80700","3034"
"Joven","Hombre","Alquilada","Casado","Cerca","43700","1","NA","12","927","","43700","927"
"Adulto","Hombre","Propia","Casado","Lejos","111800","3","Alta","18","2065","","111800","2065"
"Adulto","Mujer","Propia","Casado","Cerca","44100","1","Media","24","704","","44100","704"
"Adulto","Hombre","Propia","Casado","Cerca","111400","0","Alta","12","2136","","111400","2136"
"Mayor","Mujer","Propia","Casado","Lejos","110000","0","Alta","24","5564","","110000","5564"
"Adulto","Mujer","Propia","Casado","Lejos","83100","1","NA","12","2766","","83100","2766"
"Mayor","Mujer","Propia","Casado","Cerca","82800","0","Alta","24","3010","","82800","3010"
"Adulto","Hombre","Propia","Casado","Cerca","90100","0","Alta","18","1956","","90100","1956"
"Adulto","Hombre","Alquilada","Soltero","Cerca","38600","1","Baja","18","542","","38600","542"
"Mayor","Mujer","Alquilada","Soltero","Lejos","14000","0","Baja","12","410","","14000","410"
"Joven","Mujer","Alquilada","Soltero","Lejos","14300","2","Baja","6","194","","14300","194"
"Joven","Hombre","Alquilada","Casado","Cerca","49800","0","Media","12","827","","49800","827"
"Mayor","Mujer","Alquilada","Casado","Lejos","60200","0","Alta","18","2328","","60200","2328"
"Joven","Hombre","Alquilada","Casado","Lejos","43500","1","Media","12","808","","43500","808"
"Joven","Mujer","Alquilada","Casado","Cerca","41700","1","NA","6","521","","41700","521"
"Adulto","Mujer","Propia","Casado","Cerca","92300","3","Baja","18","655","","92300","655"
"Adulto","Hombre","Propia","Soltero","Cerca","62800","3","NA","6","707","","62800","707"
"Adulto","Mujer","Alquilada","Casado","Lejos","72900","0","Alta","18","2075","","72900","2075"
"Adulto","Mujer","Alquilada","Casado","Cerca","66900","2","Media","12","769","","66900","769"
"Joven","Hombre","Alquilada","Soltero","Cerca","21700","1","NA","18","774","","21700","774"
"Mayor","Mujer","Alquilada","Casado","Cerca","39700","0","Media","12","573","","39700","573"
"Adulto","Hombre","Alquilada","Casado","Lejos","72200","1","Alta","12","2082","","72200","2082"
"Adulto","Mujer","Alquilada","Casado","Cerca","87700","3","NA","24","2446","","87700","2446"
"Adulto","Hombre","Propia","Casado","Cerca","104100","0","Alta","24","2636","","104100","2636"
"Adulto","Hombre","Alquilada","Soltero","Lejos","67700","0","Alta","12","2226","","67700","2226"
"Adulto","Mujer","Propia","Soltero","Cerca","27000","2","Baja","6","183","","27000","183"
"Adulto","Mujer","Propia","Soltero","Lejos","64100","2","Alta","24","1595","","64100","1595"
"Adulto","Hombre","Alquilada","Soltero","Cerca","47000","1","Media","12","584","","47000","584"
"Mayor","Mujer","Propia","Casado","Cerca","41600","0","NA","18","982","","41600","982"
"Mayor","Mujer","Alquilada","Soltero","Cerca","20100","0","Baja","24","576","","20100","576"
"Adulto","Hombre","Propia","Soltero","Cerca","64000","3","Baja","12","410","","64000","410"
"Adulto","Mujer","Propia","Casado","Lejos","96800","3","NA","24","3082","","96800","3082"
"Adulto","Hombre","Alquilada","Casado","Cerca","76200","1","NA","24","2437","","76200","2437"
"Mayor","Mujer","Alquilada","Casado","Lejos","81500","0","Alta","18","3655","","81500","3655"
"Adulto","Mujer","Propia","Soltero","Cerca","49600","1","Media","12","844","","49600","844"
"Mayor","Mujer","Propia","Casado","Cerca","111500","0","Alta","18","2510","","111500","2510"
"Adulto","Hombre","Propia","Casado","Cerca","77700","0","NA","6","983","","77700","983"
"Joven","Hombre","Propia","Casado","Cerca","58900","0","NA","18","1215","","58900","1215"
"Adulto","Hombre","Propia","Casado","Cerca","126500","2","Alta","18","2000","","126500","2000"
"Adulto","Mujer","Propia","Casado","Cerca","83300","1","Alta","24","2574","","83300","2574"
"Adulto","Mujer","Propia","Casado","Cerca","90500","1","Alta","6","1116","","90500","1116"
"Adulto","Mujer","Propia","Casado","Lejos","87200","0","Alta","18","3604","","87200","3604"
"Adulto","Mujer","Propia","Casado","Cerca","105300","1","NA","24","3360","","105300","3360"
"Adulto","Mujer","Propia","Soltero","Lejos","56000","3","Media","6","530","","56000","530"
"Adulto","Mujer","Alquilada","Soltero","Cerca","46600","0","Media","24","906","","46600","906"
"Mayor","Hombre","Alquilada","Casado","Cerca","69800","0","Alta","24","2764","","69800","2764"
"Adulto","Hombre","Propia","Soltero","Cerca","60300","0","Alta","24","1263","","60300","1263"
"Joven","Hombre","Alquilada","Casado","Cerca","67800","0","Alta","12","1084","","67800","1084"
"Adulto","Hombre","Alquilada","Soltero","Cerca","42300","0","Media","24","1051","","42300","1051"
"Joven","Mujer","Propia","Casado","Lejos","33700","0","NA","6","614","","33700","614"
"Adulto","Hombre","Propia","Soltero","Cerca","62700","2","Media","12","704","","62700","704"
"Joven","Mujer","Propia","Soltero","Cerca","25900","2","NA","12","449","","25900","449"
"Joven","Mujer","Propia","Soltero","Cerca","15600","1","Baja","6","136","","15600","136"
"Mayor","Mujer","Propia","Soltero","Cerca","14600","0","Baja","24","468","","14600","468"
"Mayor","Mujer","Propia","Casado","Cerca","62600","0","Alta","6","565","","62600","565"
"Joven","Hombre","Alquilada","Casado","Cerca","66700","0","NA","18","1310","","66700","1310"
"Adulto","Hombre","Propia","Casado","Lejos","72500","0","NA","24","2595","","72500","2595"
"Joven","Mujer","Alquilada","Soltero","Lejos","13200","0","NA","24","358","","13200","358"
"Adulto","Mujer","Propia","Soltero","Cerca","51300","0","Media","24","1424","","51300","1424"
"Adulto","Hombre","Propia","Soltero","Lejos","72300","0","Alta","24","4182","","72300","4182"
"Joven","Mujer","Alquilada","Soltero","Cerca","15600","0","NA","12","468","","15600","468"
"Adulto","Mujer","Propia","Casado","Lejos","90400","1","Alta","18","2924","","90400","2924"
"Adulto","Hombre","Propia","Soltero","Lejos","71500","0","NA","6","964","","71500","964"
"Joven","Hombre","Alquilada","Soltero","Cerca","14400","0","NA","24","615","","14400","615"
"Joven","Hombre","Alquilada","Soltero","Cerca","15000","3","Baja","6","38","","15000","38"
"Adulto","Hombre","Propia","Soltero","Cerca","57600","1","NA","6","1006","","57600","1006"
"Joven","Mujer","Alquilada","Casado","Cerca","60600","3","Baja","12","307","","60600","307"
"Adulto","Hombre","Propia","Casado","Lejos","84300","2","Alta","18","1648","","84300","1648"
"Joven","Mujer","Propia","Soltero","Cerca","24400","1","Baja","6","220","","24400","220"
"Joven","Mujer","Alquilada","Soltero","Cerca","22100","2","Baja","18","280","","22100","280"
"Adulto","Hombre","Alquilada","Casado","Lejos","48800","2","NA","12","1647","","48800","1647"
"Adulto","Mujer","Propia","Casado","Cerca","74700","1","Media","6","704","","74700","704"
"Joven","Mujer","Alquilada","Soltero","Lejos","32400","1","Media","24","920","","32400","920"
"Mayor","Mujer","Propia","Soltero","Cerca","11400","0","NA","6","258","","11400","258"
"Adulto","Hombre","Propia","Casado","Cerca","127000","0","NA","12","1821","","127000","1821"
"Adulto","Hombre","Alquilada","Soltero","Cerca","47200","0","Media","18","1587","","47200","1587"
"Adulto","Mujer","Propia","Soltero","Cerca","48700","2","Baja","12","528","","48700","528"
"Joven","Hombre","Alquilada","Soltero","Lejos","20400","0","Media","18","867","","20400","867"
"Adulto","Hombre","Alquilada","Soltero","Cerca","39000","0","NA","6","643","","39000","643"
"Joven","Mujer","Alquilada","Soltero","Cerca","12900","1","Baja","6","107","","12900","107"
"Adulto","Mujer","Alquilada","Casado","Lejos","67300","1","Alta","18","1513","","67300","1513"
"Mayor","Hombre","Propia","Casado","Cerca","134500","0","Alta","24","4558","","134500","4558"
"Mayor","Hombre","Propia","Casado","Cerca","75500","0","Alta","6","741","","75500","741"
"Mayor","Mujer","Propia","Casado","Lejos","33600","2","Media","12","805","","33600","805"
"Joven","Mujer","Alquilada","Soltero","Cerca","16300","1","NA","12","470","","16300","470"
"Joven","Hombre","Alquilada","Casado","Cerca","27400","1","Baja","6","278","","27400","278"
"Adulto","Mujer","Propia","Casado","Cerca","110400","3","Baja","24","1093","","110400","1093"
"Joven","Mujer","Alquilada","Soltero","Lejos","21100","1","Baja","6","470","","21100","470"
"Adulto","Hombre","Propia","Casado","Cerca","81200","0","Alta","24","1856","","81200","1856"
"Adulto","Hombre","Alquilada","Casado","Lejos","87100","2","Alta","18","1688","","87100","1688"
"Joven","Mujer","Alquilada","Soltero","Lejos","21700","3","NA","24","708","","21700","708"
"Adulto","Mujer","Alquilada","Soltero","Cerca","42200","0","NA","18","1753","","42200","1753"
"Adulto","Hombre","Alquilada","Soltero","Lejos","59000","0","Alta","24","3044","","59000","3044"
"Adulto","Mujer","Propia","Soltero","Cerca","52700","2","Baja","18","855","","52700","855"
"Joven","Hombre","Propia","Soltero","Cerca","20900","0","Baja","24","550","","20900","550"
"Adulto","Hombre","Propia","Casado","Lejos","90700","3","Alta","24","2265","","90700","2265"
"Mayor","Mujer","Propia","Casado","Lejos","91800","0","NA","24","2452","","91800","2452"
"Joven","Mujer","Propia","Soltero","Lejos","27900","0","Media","18","1184","","27900","1184"
"Mayor","Mujer","Propia","Casado","Cerca","70700","0","Alta","24","2150","","70700","2150"
"Adulto","Hombre","Propia","Casado","Cerca","79600","2","NA","6","1575","","79600","1575"
"Adulto","Hombre","Alquilada","Casado","Cerca","96400","1","Alta","24","1822","","96400","1822"
"Adulto","Mujer","Propia","Soltero","Cerca","46600","2","NA","18","1153","","46600","1153"
"Mayor","Hombre","Propia","Casado","Cerca","106600","0","Alta","12","1877","","106600","1877"
"Adulto","Mujer","Alquilada","Casado","Cerca","104900","3","Baja","6","450","","104900","450"
